id,user_id,full_name,email,phone,nid_number,experience_years,services,district,area,address,latitude,longitude,gender,profile_photo,nid_verified,background_check_passed,police_clearance,average_rating,total_reviews,hourly_rate,created_at
9847df34-d8e6-42a8-907b-e8d31dd5781b,46290052-048d-40f0-bf84-f22e4f9c65d5,মাহমুদা রায়,marvin59@hotmail.com,+8801719561104,91495192452745,11,Mobility Assistance|Dementia Care|Palliative Care|Personal Care|Blood Pressure Monitoring|Rehabilitation|Medication Management|Respiratory Care,Dhaka,Banani,"47, Banani",23.800046,90.398122,পুরুষ,https://api.dicebear.com/7.x/avataaars/svg?seed=UR2Zr2R3,True,True,True,4.88,54,576,2025-05-05T18:00:15.330Z
cbde070d-6818-4bd4-9dc6-0c711022a4f0,f68ddb4f-af77-4de5-b08f-3b904c27dee3,তাসলিমা চৌধুরী,gisselle48@hotmail.com,+8801937335685,17439961181919,14,Medication Management|Rehabilitation|Nursing|Mental Health Support|Mobility Assistance|Personal Care,Dhaka,Banani,"36, Banani",23.802495,90.410983,পুরুষ,https://api.dicebear.com/7.x/avataaars/svg?seed=3n1ERXfQ,True,True,True,4.83,119,537,2025-09-24T18:00:15.331Z
5f5ad5ac-5240-4b13-b812-d9de982d657c,34588096-069e-44d4-9197-896dfaa1df64,ফারুক হক,jack3@gmail.com,+8801865279768,57205931548568,12,Physiotherapy|Respiratory Care|Personal Care|Mental Health Support|Post-Surgery Care|Companionship,Dhaka,Rampura,"97, Rampura",23.75589,90.417999,পুরুষ,https://api.dicebear.com/7.x/avataaars/svg?seed=uBXMC6aO,True,True,True,4.75,75,536,2025-04-08T18:00:15.336Z
58f589e3-acc2-48a2-9f6b-49f587ac6e73,c5dd7014-b176-43f9-a993-e99ec3d952a6,ফাতেমা আক্তার,hans_abbott95@gmail.com,+8801846088329,52280633208555,5,Wound Care|Meal Preparation|Medication Management|Mobility Assistance|Blood Pressure Monitoring,Dhaka,Khilgaon,"18, Khilgaon",23.740286,90.435912,মহিলা,https://api.dicebear.com/7.x/avataaars/svg?seed=TaZQ8JY8,True,True,True,4.26,53,370,2025-09-20T18:00:15.336Z
de8ee13b-9f9a-443c-bc2a-4868d9f3c176,e907bf1e-eede-4aca-ab60-9f37be50fad8,রুমানা হক,ayden98@gmail.com,+8801394136627,26957102812803,6,Dementia Care|Post-Surgery Care|Nursing|Diabetes Care,Dhaka,Khilgaon,"105, Khilgaon",23.744716,90.426548,পুরুষ,https://api.dicebear.com/7.x/avataaars/svg?seed=DBzWkGcv,True,True,True,4.49,99,374,2025-06-20T18:00:15.336Z
349eb3c1-933d-4079-830e-53ef2ee08bf7,005883ce-5062-4ec1-8954-00bff70f70e7,রেহানা খান,ramona.bednar88@hotmail.com,+8801931611820,61969375374466,5,Physiotherapy|Rehabilitation|Medication Management,Dhaka,Banani,"163, Banani",23.79743,90.40495,পুরুষ,https://api.dicebear.com/7.x/avataaars/svg?seed=kogoTF0o,True,True,True,4.28,41,387,2025-10-24T18:00:15.337Z
fdb59495-05e7-442f-b15e-8a0c6f9aaf4f,871a61bf-61be-4afc-b723-3d1eb6643c6a,ফারুক ইসলাম,kenna72@gmail.com,+8801995306631,34893807719530,9,Blood Pressure Monitoring|Palliative Care|Personal Care|Mental Health Support|Mobility Assistance|Nursing,Dhaka,Banani,"29, Banani",23.800884,90.398751,পুরুষ,https://api.dicebear.com/7.x/avataaars/svg?seed=HgtAngzo,True,True,True,4.6,53,558,2025-11-08T18:00:15.337Z
c10c5d77-34de-4abf-ae34-4267ae8031e4,bdf5dd11-25b0-4c54-b148-0d6505b62149,রোকেয়া বেগম,reymundo.wilderman@hotmail.com,+8801981546848,36803670774517,3,Meal Preparation|Mental Health Support|Respiratory Care|Nursing|Diabetes Care,Dhaka,Khilgaon,"92, Khilgaon",23.744359,90.437098,মহিলা,https://api.dicebear.com/7.x/avataaars/svg?seed=SktTzS8A,True,True,True,4.32,46,442,2025-11-07T18:00:15.342Z
a3dc1535-826a-4a3d-83a6-7f44018a8bc9,693a2cd5-b81c-492b-8e1f-509ac0b95239,রোকেয়া রহমান,terrance32@gmail.com,+8801768795808,24386276636245,5,Physiotherapy|Nursing|Dementia Care|Personal Care|Companionship,Dhaka,Shyamoli,"32, Shyamoli",23.777586,90.377227,পুরুষ,https://api.dicebear.com/7.x/avataaars/svg?seed=DNY8AM1O,True,True,True,4.44,73,434,2025-02-22T18:00:15.343Z
ccd88ebc-1702-431a-a1bd-edf40675af79,e3ffd1ec-61b7-457e-b0f7-2041f0ea0dcc,মাহমুদা খান,justine.purdy97@hotmail.com,+8801869988883,70285510453654,11,Meal Preparation|Palliative Care|Medication Management|Post-Surgery Care|Mental Health Support,Dhaka,Badda,"76, Badda",23.775537,90.426485,পুরুষ,https://api.dicebear.com/7.x/avataaars/svg?seed=xz7XNMQx,True,True,True,4.64,89,524,2025-10-02T18:00:15.343Z
